id,genre
0,Comedy
1,Drama
2,International
3,Action
4,Suspense
5,Documentary
6,Fantasy
7,Kids
8,Special Interest
9,Science Fiction
10,Adventure
11,Horror
12,Sports
13,Talk Show and Variety
14,Anime
15,Arts
16,Entertainment
17,And Culture
18,TV Shows
19,Animation
20,Music Videos and Concerts
21,Fitness
22,Faith and Spirituality
23,Military and War
24,Western
25,LGBTQ
26,Romance
27,Unscripted
28,Young Adult Audience
29,Arthouse
30,Historical
31,Family
32,Musical
33,Docuseries
34,Music
35,Biographical
36,Action-Adventure
37,Superhero
38,Reality
39,Survival
40,Animals & Nature
41,Coming of Age
42,Lifestyle
43,Movies
44,Concert Film
45,Crime
46,Anthology
47,Medical
48,Variety
49,Spy/Espionage
50,Buddy
51,Parody
52,Game Show / Competition
53,Romantic Comedy
54,Thriller
55,Police/Cop
56,Talk Show
57,Dance
58,Series
59,Mystery
60,Soap Opera
61,Melodrama
62,Disaster
63,Travel
64,Stand Up
65,Cooking & Food
66,Documentaries
67,Lifestyle & Culture
68,News
69,History
70,Teen
71,Health & Wellness
72,Black Stories
73,Latino
74,Late Night
75,Sketch Comedy
76,Classics
77,LGBTQ+
78,Adult Animation
79,Sitcom
80,Game Shows
81,Cartoons
82,Science & Technology
83,International TV Shows
84,TV Dramas
85,TV Mysteries
86,Crime TV Shows
87,TV Action & Adventure
88,Reality TV
89,Romantic TV Shows
90,TV Comedies
91,TV Horror
92,Children & Family Movies
93,Dramas
94,Independent Movies
95,International Movies
96,British TV Shows
97,Comedies
98,Spanish-Language TV Shows
99,Thrillers
100,Romantic Movies
101,Music & Musicals
102,Horror Movies
103,Sci-Fi & Fantasy
104,TV Thrillers
105,Kids' TV
106,Action & Adventure
107,TV Sci-Fi & Fantasy
108,Classic Movies
109,Anime Features
110,Sports Movies
111,Anime Series
112,Korean TV Shows
113,Science & Nature TV
114,Teen TV Shows
115,Cult Movies
116,Faith & Spirituality
117,LGBTQ Movies
118,Stand-Up Comedy
119,Stand-Up Comedy & Talk Shows
120,Classic & Cult TV
